form,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,period,nbOcc,nbOcc_period,nbUsers_period,propagation_start,propagation_end_ex,type
sblc,9.816047274083672e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.746489970666692e-06,4.552780382979886e-06,0.0,4.655818609306981e-06,0.0,0.0,0.0,7.714799299496224e-06,1.1311150909605052e-05,7.176484096911241e-06,0.0,6.769495300277887e-06,1.353500490643928e-05,9.97844655544025e-06,1.558227049263348e-05,2.536049950039816e-05,2.1616607843291384e-05,2.2215576536933395e-05,3.533788911643498e-05,4.27240878407246e-05,2.7462819918966373e-05,2.5672842411535664e-05,2.917866909606104e-05,2.5487261830640785e-05,2.656885161608947e-05,1.798809188317334e-05,1.893544905417432e-05,3.19086600103268e-05,3.065397183513068e-05,1.1260722319033154e-05,2.216963093106908e-05,1.544524788335749e-05,1.6351046058171572e-05,8.115851068722321e-06,2.2833496387916512e-05,2.006806418435861e-05,2.375760455467219e-05,2.369664235504002e-05,2.1439291074108483e-05,2.763067004374856e-05,2.2640954089805343e-05,2.3592053470481803e-05,1.1302351077396615e-05,1.604097935525957e-05,1.1129454100276382e-05,1.8735969313888804e-05,2.130477546542057e-05,2012-03 - 2017-02,667,435,351,21,30,change
tcroit,9.816047274083672e-06,1.8207805686297714e-05,0.0,0.0,8.304889088206227e-06,0.0,0.0,0.0,0.0,6.024931165161438e-06,0.0,5.250446287934474e-06,2.924803306977606e-05,1.4239469912000076e-05,9.105560765959772e-06,2.71506726579151e-05,2.793491165584189e-05,4.757645536376958e-06,1.7043178893727258e-05,8.098510279034172e-06,2.314439789848867e-05,1.8851918182675087e-05,2.1529452290733725e-05,2.1556524800781786e-05,2.0308485900833664e-05,2.707000981287856e-05,2.660919081450733e-05,2.142562192737104e-05,2.536049950039816e-05,1.3756023173003608e-05,8.544452514205152e-06,1.851032287051356e-05,1.3671708109031872e-05,1.6477691951379822e-05,8.557614137178555e-06,1.1347260204023738e-05,1.638466831969765e-05,9.377241746855109e-06,1.1992061255448892e-05,3.787089810834864e-06,5.801574547332146e-06,6.130794367026136e-06,2.815180579758289e-06,0.0,2.5742079805595813e-06,8.175523029085786e-06,2.705283689574108e-06,0.0,3.3446773640597696e-06,0.0,5.077851933222862e-06,3.5732151790180804e-06,1.8420446695832373e-06,7.546984696601782e-06,9.073866719416078e-06,1.8837251795661024e-06,1.7823310394732857e-06,7.419636066850921e-06,3.4065398752525097e-06,1.7753979554517145e-06,2012-03 - 2017-02,270,244,200,5,23,buzz
salopeeeee,9.816047274083672e-06,1.8207805686297714e-05,0.0,8.031999485952032e-06,8.304889088206227e-06,8.301924386072691e-06,0.0,0.0,2.5293723362547585e-05,0.0,5.388860148301431e-06,5.250446287934474e-06,1.462401653488803e-05,1.4239469912000076e-05,1.3658341148939658e-05,3.167578476756762e-05,5.12140047023768e-05,4.757645536376958e-05,2.98255630640227e-05,2.83447859766196e-05,1.928699824874056e-05,2.2622301819210105e-05,3.5882420484556204e-05,2.514927893424541e-05,2.0308485900833664e-05,1.6918756133049097e-05,2.660919081450733e-05,5.843351434737555e-06,2.028839960031853e-05,9.82573083785972e-06,1.5380014525569273e-05,2.692410599347427e-05,1.1962744595402888e-05,1.2815982628850972e-05,5.134568482307133e-06,1.296829737602713e-05,3.641037404377255e-06,1.250298899580681e-05,2.098610719703556e-05,5.680634716252296e-06,1.4503936368330365e-05,1.2261588734052273e-05,1.1260722319033154e-05,2.7712038663836344e-06,7.722623941678744e-06,1.3625871715142975e-05,8.115851068722321e-06,7.0256911962820045e-06,6.689354728119539e-06,5.0909152617154684e-06,5.077851933222862e-06,0.0,1.8420446695832373e-06,7.546984696601782e-06,3.629546687766432e-06,7.53490071826441e-06,5.346993118419857e-06,5.564727050138191e-06,3.4065398752525097e-06,0.0,2012-03 - 2017-02,322,270,263,4,21,buzz
kecho,1.9632094548167345e-05,0.0,8.220439300276207e-06,8.031999485952032e-06,8.304889088206227e-06,1.6603848772145382e-05,1.4944555698359088e-05,1.3870683616642048e-05,5.691087756573207e-05,2.409972466064575e-05,4.311088118641145e-05,4.20035703034758e-05,3.899737742636808e-05,6.170436961866699e-05,8.195004689363794e-05,4.977623320617768e-05,6.518146053029775e-05,7.136468304565437e-05,8.94766891920681e-05,6.478808223227338e-05,9.64349912437028e-05,0.0001055707418229,0.0001327649557928,7.904059093619988e-05,8.123394360333466e-05,9.136128311846514e-05,8.315372129533541e-05,6.817243340527148e-05,7.270009856780806e-05,8.253613903802165e-05,6.493783910795916e-05,7.067577823286996e-05,6.32316500042724e-05,5.4925639837932745e-05,5.648025330537846e-05,5.673630102011869e-05,4.551296755471569e-05,6.876643947693745e-05,7.045335987576224e-05,4.923216754085323e-05,3.771023455765895e-05,3.065397183513068e-05,2.53366252178246e-05,1.939842706468544e-05,2.8316287786155395e-05,1.9076220401200168e-05,1.6231702137444643e-05,1.756422799070501e-05,1.5051048138268962e-05,3.054549157029281e-05,3.723758084363432e-05,1.9652683484599444e-05,2.5788625374165323e-05,4.15084158313098e-05,3.2665920189897885e-05,3.767450359132206e-05,3.921128286841228e-05,3.7098180334254605e-05,2.895558893964633e-05,4.616034684174458e-05,2012-03 - 2017-02,1423,1228,933,3,22,buzz
caley,9.816047274083672e-06,0.0,0.0,0.0,8.304889088206227e-06,0.0,2.9889111396718176e-05,6.935341808321023e-06,6.323430840636896e-06,6.024931165161438e-06,2.1555440593205724e-05,1.5751338863803424e-05,3.899737742636808e-05,6.645085958933369e-05,5.918614497873851e-05,7.240179375444027e-05,0.0001024280094047,7.612232858203132e-05,6.391192085147722e-05,5.66895719532392e-05,4.628879579697734e-05,0.0001018003581864,6.100011482374555e-05,6.826232853580898e-05,8.461869125347359e-05,8.797753189185531e-05,4.3239935073574415e-05,4.285124385474208e-05,5.748379886756916e-05,3.930292335143888e-05,2.0506686034092364e-05,1.851032287051356e-05,1.3671708109031872e-05,1.0985127967586549e-05,1.711522827435711e-05,1.7831408892037304e-05,1.8205187021886275e-05,1.5628736244758512e-05,1.3491068912380004e-05,1.1361269432504592e-05,1.4503936368330365e-05,1.2261588734052273e-05,5.630361159516577e-06,1.1084815465534538e-05,5.148415961119163e-06,1.0900697372114382e-05,2.705283689574108e-06,1.7564227990705011e-06,1.1706370774209191e-05,8.484858769525781e-06,5.077851933222862e-06,0.0,3.684089339166475e-06,1.8867461741504448e-06,3.629546687766432e-06,1.8837251795661024e-06,0.0,0.0,5.109809812878765e-06,0.0,2012-03 - 2017-02,590,545,425,7,21,buzz
mddd,9.816047274083672e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.3870683616642048e-05,1.2646861681273793e-05,1.807479349548432e-05,3.772202103811002e-05,2.1001785151737897e-05,4.87467217829601e-05,3.3225429794666844e-05,3.642224306383909e-05,2.71506726579151e-05,5.586982331168378e-05,4.281880982739262e-05,6.817271557490903e-05,8.50343579298588e-05,0.0001002923908934,0.0001018003581864,8.61178091629349e-05,0.0001077826240039,0.0001083119248044,7.782627821202586e-05,5.987067933264149e-05,6.62246495936923e-05,7.439079853450127e-05,6.288467736230221e-05,5.6393386593754005e-05,4.206891561480354e-05,4.27240878407246e-05,4.210965720908177e-05,3.936502503102135e-05,5.349422667611191e-05,4.187193015033843e-05,6.251494497903405e-05,4.6469237364864457e-05,2.4616083770426616e-05,4.351180910499109e-05,2.1457780284591474e-05,1.689108347854973e-05,2.494083479745271e-05,1.0296831922238324e-05,2.997691777331455e-05,2.705283689574108e-06,1.580780519163451e-05,1.6723386820298848e-05,2.71515480624825e-05,2.031140773289145e-05,1.2506253126563282e-05,2.3946580704582088e-05,3.584817730885846e-05,2.3592053470481803e-05,1.318607625696272e-05,2.6734965592099284e-05,1.8549090167127303e-05,3.40653987525251e-05,2.663096933177572e-05,2012-03 - 2017-02,1268,932,800,6,25,buzz
mddddddrr,9.816047274083672e-06,0.0,0.0,8.031999485952032e-06,0.0,8.301924386072691e-06,2.241683354753863e-05,3.467670904160512e-05,3.794058504382138e-05,3.614958699096863e-05,5.927746163131574e-05,7.350624803108264e-05,9.74934435659202e-05,0.000113915759296,0.0001092667291915,0.0001357533632895,0.0001536420141071,0.0001332140750185,0.0001320846364263,0.0001822164812782,0.0001928699824874,0.0002073711000094,0.0002260592490527,0.0001544884277389,0.0001658526348568,0.0001285825466111,0.0001463505494797,0.0001558227049263,0.0001995025960697,0.0001847237397517,0.0001435468022386,0.0001598618793362,0.0001179184824403,0.0001190055529821,8.215309571691413e-05,0.0001296829737602,7.464126678973373e-05,0.0001031496592154,0.0001139245819267,6.438052678419269e-05,7.251968184165183e-05,5.8242546486748285e-05,5.911879217492406e-05,4.988166959490542e-05,5.920678355287037e-05,4.905313817451472e-05,5.1400390101908034e-05,5.269268397211503e-05,6.020419255307585e-05,4.751520910934438e-05,5.0778519332228616e-05,6.074465804330737e-05,5.1577250748330646e-05,5.0942146702062026e-05,3.992501356543074e-05,4.7093129489152566e-05,3.564662078946571e-05,4.822763443453098e-05,3.747193862777761e-05,3.7283357064486006e-05,2012-03 - 2017-02,3000,2497,1631,4,24,buzz
ptddddddddddddddddddddr,9.816047274083672e-06,9.103902843148855e-06,0.0,0.0,0.0,8.301924386072691e-06,0.0,1.3870683616642048e-05,1.897029252191069e-05,6.024931165161438e-06,2.694430074150716e-05,6.30053554552137e-05,5.849606613955212e-05,5.695787964800031e-05,8.650282727661783e-05,5.882645742548272e-05,8.380473496752567e-05,6.66070375092774e-05,6.391192085147722e-05,0.0001214776541855,7.714799299496224e-05,7.540767273070035e-05,9.688253530830177e-05,7.904059093619988e-05,6.431020535263993e-05,0.0001048962880249,7.650142359170858e-05,7.791135246316741e-05,9.129779820143338e-05,6.68149696974461e-05,5.6393386593754005e-05,5.553096861154069e-05,5.981372297701444e-05,7.689589577310584e-05,3.936502503102135e-05,5.187318950410852e-05,2.0025705724074904e-05,2.656885161608947e-05,4.497022970793335e-05,2.4616083770426616e-05,1.1603149094664292e-05,1.2261588734052273e-05,1.1260722319033154e-05,1.3856019331918173e-05,1.0296831922238324e-05,1.9076220401200168e-05,1.3526418447870537e-05,1.756422799070501e-05,2.1740402866388505e-05,1.6969717539051562e-05,1.3540938488594298e-05,1.6079468305581362e-05,7.36817867833295e-06,7.546984696601782e-06,9.073866719416078e-06,5.6511755386983086e-06,3.564662078946571e-06,1.669418115041457e-05,1.021961962575753e-05,1.7753979554517145e-06,2012-03 - 2017-02,980,901,721,5,22,buzz
sdeh,9.816047274083672e-06,0.0,0.0,8.031999485952032e-06,8.304889088206227e-06,0.0,7.472277849179544e-06,2.080602542496307e-05,2.5293723362547585e-05,3.614958699096863e-05,2.1555440593205724e-05,2.1001785151737897e-05,2.924803306977606e-05,4.271840973600023e-05,3.18694626808592e-05,2.2625560548262583e-05,2.793491165584189e-05,4.281880982739262e-05,5.539033140461359e-05,5.66895719532392e-05,5.400359509647357e-05,6.409652182109529e-05,5.023538867837869e-05,6.466957440234535e-05,5.077121475208416e-05,7.105877575880622e-05,4.989223277720125e-05,2.921675717368778e-05,2.705119946709137e-05,1.965146167571944e-05,1.3671124022728245e-05,1.5144809621329278e-05,1.708963513628984e-05,1.6477691951379822e-05,1.711522827435711e-05,1.1347260204023738e-05,7.28207480875451e-06,1.0940115371330958e-05,1.1992061255448892e-05,1.7041904148756886e-05,2.0305510915662512e-05,6.130794367026136e-06,0.0,5.542407732767269e-06,7.722623941678744e-06,2.725174343028596e-06,8.115851068722321e-06,8.782113995352505e-06,1.0034032092179307e-05,1.1878802277336094e-05,8.463086555371437e-06,5.359822768527121e-06,7.36817867833295e-06,9.433730870752227e-06,1.814773343883216e-05,9.418625897830514e-06,1.4258648315786284e-05,9.274545083563651e-06,1.1922889563383784e-05,1.2427785688162e-05,2012-03 - 2017-02,618,499,350,5,21,buzz
mchanger,9.816047274083672e-06,9.103902843148855e-06,0.0,0.0,0.0,8.301924386072691e-06,2.241683354753863e-05,6.935341808321023e-06,0.0,0.0,1.0777720296602862e-05,0.0,1.949868871318404e-05,4.746489970666692e-06,2.276390191489943e-05,3.620089687722013e-05,4.1902367483762834e-05,3.33035187546387e-05,3.834715251088633e-05,3.239404111613669e-05,5.786099474622168e-05,1.508153454614007e-05,3.5882420484556204e-05,2.514927893424541e-05,2.3693233550972607e-05,2.030250735965892e-05,2.660919081450733e-05,2.72689733621086e-05,1.6906999666932106e-05,2.947719251357916e-05,2.2215576536933395e-05,6.731026498368568e-06,5.126890540886952e-06,7.3234186450577e-06,6.846091309742844e-06,8.105185860016957e-06,9.102593510943138e-06,2.0317357118186065e-05,1.798809188317334e-05,7.574179621669728e-06,8.702361820998219e-06,1.2261588734052273e-05,1.1260722319033154e-05,1.3856019331918173e-05,1.544524788335749e-05,2.725174343028596e-06,1.0821134758296427e-05,1.0538536794423009e-05,1.0034032092179307e-05,1.5272745785146406e-05,1.5233555799668586e-05,1.2506253126563282e-05,1.8420446695832373e-06,1.1320477044902672e-05,9.073866719416078e-06,1.1302351077396615e-05,7.129324157893142e-06,9.274545083563651e-06,8.516349688131275e-06,2.308017342087229e-05,2012-03 - 2017-02,434,342,321,4,22,buzz
